Name,Category,Style,IBU,ABV,Brewery,Province,Country,Taste_Profile,Food_Pairing,Flavours,Link
Old Speckled Hen Ale,Lager,Pale Lager,,5.00%,Green King Brewery,,England,Robust and Malty,"Roast Pork, Roast Chicken, Fish and Chips","Toffee, Earthy, Butterscotch",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1001334.aspx
Old Style Pilsner,Lager,Pilsner,,5.00%,Molson Coors Canada Inc.,,Canada,Bright and Balanced,"Pub Fare, Shellfish","Crisp, Grain, Grassy",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1024692.aspx
One Eyed River Hog IPA,Ale,India Pale Ale,50,6.20%,Wayfarers' Ale Society,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Cheese, Asian","Pine, Hoppy, Grapefruit",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1025172.aspx
Over The Top Sour Cranberry Wheat,Ale,Sour Ale,,4.00%,Boxing Rock Brewing Co.,Nova Scotia,Canada,Flavoured and Refreshing,"Salads, Fresh Cheeses, Aperitif","Tangy, Sour, Cranberry",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1031909.aspx
Pabst Blue Ribbon,Lager,Pale Lager,10,4.90%,Sleeman Breweries,Ontario,USA,Bright and Balanced,"Pub Fare, Nachos, Appetizers","Grain, Crisp, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1027785.aspx
Peroni Nastro Azzurro Lager,Lager,Pale Lager,,5.10%,Peroni Brewery,,Italy,Bright and Balanced,"Shellfish, Salads, Pasta (Oil)","Grassy, Grain, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1009498.aspx
Pilsner Urquell Lager,Lager,Pilsner,40,4.40%,Pilsner Urquell Brewery,,Czech Republic,Bright and Balanced,"Shellfish, Seafood, Pretzels","Pine, Crisp, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1000445.aspx
Azacca Session India Pale Ale,Ale,India Pale Ale,30,4.50%,Propeller Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,,,https://www.mynslc.com/en/products/Beer/Ale/1033814.aspx
Cascade Pale Ale,Ale,Pale Ale,,5.00%,Propeller Brewing Company,Nova Scotia,Canada,Bright and Balanced,"Sharp Cheeses, Curry (Mild), Casseroles","Orchard Fruit, Hoppy, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1033310.aspx
Common California Style Lager,Lager,California Common,25,5.00%,Propeller Brewing Company,Nova Scotia,Canada,Bright and Balanced,"Pub Fare, Pizza, Appetizers","Toasty, Mild Hops, Crisp",https://www.mynslc.com/en/products/Beer/Lager/California%20Common/1027815.aspx
Double Dry Hop IPA,Ale,India Pale Ale,80,6.50%,Propeller Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Blue Cheeses, Asian","Tropical, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1031959.aspx
Propeller DIPA,Ale,India Pale Ale,85,8.20%,Propeller Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Smoked Meat, Roast Lamb, Curry","Hoppy, Grapefruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1027354.aspx
Propeller ESB,Ale,Bitter,30,5.00%,Propeller Brewing Company,Nova Scotia,Canada,Robust and Malty,"Roast Pork, Roast Chicken, Fish and Chips","Mild Hops, Malty, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Bitter/1033309.aspx
Propeller Galaxy IPA,Ale,India Pale Ale,40,6.50%,Propeller Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Cheese, Asian Noodles","Tropical, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1030751.aspx
Propeller IPA,Ale,India Pale Ale,68,6.50%,Propeller Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Blue Cheeses, Asian","Pine, Hoppy, Cereal",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1006639.aspx
Lime Lite,Lager,Light Lager,10,4.50%,Propeller Brewing Company,Nova Scotia,Canada,Flavoured and Refreshing,"Shellfish, Salads, Aperitif","Lime, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1033337.aspx
London Porter,Ale,Porter,39,5.00%,Propeller Brewing Company,Nova Scotia,Canada,Bold and Full Flavoured,"Stews, Grilled Beef, BBQ Fare","Coffee, Chocolate, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Porter/1033311.aspx
Propeller Pilsener,Lager,Pilsner,27,4.80%,Propeller Brewing Company,Nova Scotia,Canada,Bright and Balanced,"White Fish, Salmon, Bratwurst","Spicy, Mild Hops, Malty",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1026188.aspx
Propeller Pumpkin Ale,Ale,Speciality Ale,,5.00%,Propeller Brewing Company,Nova Scotia,Canada,Fruity and Smooth,"Roast Chicken, Nut Pies, Mild Cheeses","Pumpkin, Nutmeg, Cinnamon",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1029601.aspx
Propeller Rye IPA,Ale,India Pale Ale,68,6.80%,Propeller Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Mexican, Curry, Asian","Spice, Malty, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033307.aspx
Propeller Stone Fruit Ale,Ale,Speciality Ale,8,5.00%,Propeller Brewing Company,Nova Scotia,Canada,Fruity and Smooth,"Pork, Curry, Asian","Stone Fruit, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1028039.aspx
Guinness Draught,Ale,Stout,45,4.20%,Guinness Ltd.,,Ireland,Bold and Full Flavoured,"Oysters, Irish Stew, BBQ Fare","Roasted Malt, Creamy, Coffee",https://www.mynslc.com/en/products/Beer/Ale/Stout/1006541.aspx
Pump House Blueberry Ale,Ale,Flavoured Wheat Ale,,5.00%,Pump House Brewery,New Brunswick,Canada,Fruity and Smooth,"Salads, Pork, Mild Cheeses","Spicy, Pepper, Blueberry",https://www.mynslc.com/en/products/Beer/Ale/Flavoured%20Wheat%20Ale/1027759.aspx
Pump House Crafty Radler,Lager,Radler,5,4.70%,Pump House Brewery,New Brunswick,Canada,Flavoured and Refreshing,"Salads, Appetizers, Aperitif","Tangy, Lively, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Radler/1023785.aspx
Pump House Crafty Radler Peach and Blood Orange,Lager,Radler,,4.70%,Pump House Brewery,New Brunswick,Canada,Fruity and Smooth,"Salads, Fresh Cheeses, Aperitif","Tangy, Peach, Orange",https://www.mynslc.com/en/products/Beer/Lager/Radler/1033806.aspx
Ransack The Universe IPA,Ale,India Pale Ale,85,6.80%,Collective Arts Brewing,Ontario,Canada,Crisp and Hoppy,"Fish and Chips, Curry (Mild), Cheese","Tropical, Mango, Crisp",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1024100.aspx
Full Steam Stout,Ale,Stout,40,5.00%,Rare Bird Craft Beer,Nova Scotia,Canada,Bold and Full Flavoured,"Smoked Meat, Kebabs (Beef), BBQ Fare","Smoky, Coffee, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Stout/1027980.aspx
Rare Bird Red Ale,Ale,Red Ale,25,5.00%,Rare Bird Craft Beer,Nova Scotia,Canada,Robust and Malty,"Sharp Cheeses, Seafood, Chicken","Nutty, Malty, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Red%20Ale/1031758.aspx
Red Racer Superfruit IPA,Ale,India Pale Ale,65,5.80%,Central City Brewing,British Columbia,Canada,Crisp and Hoppy,"Curry, Blue Cheeses, Asian","Tropical, Orange, Hoppy",https://www.mynslc.com/en/products/Beer/Ale/1031957.aspx
Red Stripe Lager,Lager,Pale Lager,23,4.70%,Desnoes and Geddes,,Jamaica,Bright and Balanced,"Pub Fare, Dips, Appetizers","Malty, Lively, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1001722.aspx
Rickard's Radler,Lager,Radler,,3.20%,Molson Coors Canada Inc.,,Canada,Flavoured and Refreshing,"Shellfish, Salads, Appetizers","Grain, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Radler/1020461.aspx
Rickard's Red ,Ale,Red Ale,16,5.20%,Molson Coors Canada Inc.,,Canada,Robust and Malty,"Tex Mex, Nachos, Chili","Lively, Crisp, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Red%20Ale/1001935.aspx
Rolling Rock Extra Pale Lager,Lager,Pale Lager,5,4.40%,Latrobe Brewing Company,,USA,Bright and Balanced,"Shellfish, Salmon, Appetizers","Smooth, Creamy, Cereal",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1014464.aspx
Big Stink IPA,Ale,India Pale Ale,65,6.40%,Roof Hound Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Pork, Curry, Asian","Pine, Earthy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1030615.aspx
Garage Band Hazy Pale Ale,Ale,Pale Ale,,4.80%,Roof Hound Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Mild Cheeses, Curry (Mild), Asian","Floral, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1030829.aspx
1497 IPA,Ale,India Pale Ale,70,6.50%,Route 19 Brewing,Nova Scotia,Canada,Crisp and Hoppy,"Fish and Chips, Curry (Mild), Asian Noodles","Orange, Grapefruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1031455.aspx
19th Hole Pale Ale,Ale,Pale Ale,7,4.00%,Route 19 Brewing,Nova Scotia,Canada,Bright and Balanced,,"Citrus, Dry, Mild Hops",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1033625.aspx
Dog Daze Sour,Ale ,Sour Ale,6,5.00%,Route 19 Brewing,Nova Scotia,Canada,Flavoured and Refreshing,"Summer Salads, Shellfish, Aperitif","Tangy, Passion Fruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1033481.aspx
Red Rows Scotch Ale,Ale,Scotch Ale,15,5.00%,Route 19 Brewing,Nova Scotia,Canada,Robust and Malty,"Stews, Cheese, Braised Lamb","Toffee, Earthy, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Scotch%20Ale/1032334.aspx
Supernova New England IPA,Ale,India Pale Ale,63,6.00%,Route 19 Brewing,Nova Scotia,Canada,Crisp and Hoppy,,"Dry, Fruit, Tropical",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033684.aspx
Dory Racer Northeast IPA,Ale,India Pale Ale,,4.30%,Saltbox Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Moroccan, Curry, Asian","Tropical, Pine, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1031368.aspx
Holy Mackerel Pale Ale,Ale,Pale Ale,,5.70%,Saltbox Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"White Fish, Shellfish, Fish and Chips","Malty, Grain, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1027752.aspx
Lumberjack Ale,Ale,Light Ale,,4.30%,Saltbox Brewing Company,Nova Scotia,Canada,,,,https://www.mynslc.com/en/products/Beer/Ale/Light%20Ale/1034627.aspx
Make and Break DIPA,Ale,Double IPA,,7.50%,Saltbox Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Indian Cuisine, Curry, Asian","Pine, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Double%20IPA/1034146.aspx
Sapporo Premium Lager,Lager,Pale Lager,18,4.90%,Sapporo Brewing Ltd.,,Japan,Bright and Balanced,"Sushi, Shellfish, Salads","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1012936.aspx
Amarillo Wheat Ale,Ale,Wheat Ale,,5.00%,Schoolhouse Brewery,Nova Scotia,Canada,fruity and Smooth,"White Fish, Shellfish, Appetizers","Fruit, Floral, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Wheat%20Ale/1032894.aspx
Principal Ale,Ale,Pale Ale,20,4.50%,Schoolhouse Brewery,Nova Scotia,Canada,Bright and Balanced,"Ploughman's Lunch, Hodge Podge, Fish and Chips","Grapefruit, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1027816.aspx
Recess Pilsner,Lager,Pilsner,24,4.70%,Schoolhouse Brewery,Nova Scotia,Canada,Light and Refreshing,"Shellfish, Chicken, Appetizers","Lively, Grassy, Cereal",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1030657.aspx
Blue Heron Bitter,Ale,Bitter,40,5.50%,Sea Level Brewing,Nova Scotia,Canada,Crisp and Hoppy,"Roast Chicken, Fish and Chips, Cheddar","Pine, Earthy, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Bitter/1030584.aspx
Millstone Ale,Ale,Pale Ale,20,4.80%,Sea Level Brewing,Nova Scotia,Canada,Bright and Balanced,,"Crisp, Fruit, Grain",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1033598.aspx
Shock Top Belgian White Ale,Ale,Wit,10,5.20%,Labatt Breweries,Ontario,Canada,Fruity and Smooth,"Shellfish, Salmon, Appetizers","Orange, Lemon, Fresh Bread",https://www.mynslc.com/en/products/Beer/Ale/Wit/1014568.aspx
Sleeman Clear 2.0,Lager,Pale Lager,,4.00%,Sleeman Breweries,Ontario,Canada,Light and Refreshing,"Shellfish, Salads, Antipasto","Grassy, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1024313.aspx
Sleeman Cream Ale,Hybrid,Cream Ale,,5.00%,Sleeman Breweries,Ontario,Canada,Bright and Balanced,"Pub Fare, Nachos, Dips","Smooth, Grassy, Grain",https://www.mynslc.com/en/products/Beer/Hybrid/Cream%20Ale/1000336.aspx
Sleeman Honey Brown Lager,Lager,Flavoured Lager,,5.20%,Sleeman Breweries,Ontario,Canada,Bright and Balanced,"Tex Mex, Nachos, Mild Cheeses","Nutty, Honey, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Flavoured%20Lager/1033316.aspx
Sleeman Original Draught,Lager,Pale Lager,,5.00%,Sleeman Breweries,Ontario,Canada,Bright and Balanced,"Pub Fare, Nachos, Appetizers","Lively, Corn, Apple",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1001471.aspx
Beth's Black Stout,Ale,Speciality Stout,30,6.00%,Sober Island Brewing,Nova Scotia,Canada,Bold and Full Flavoured,"Stews, Oysters, Braised Lamb","Smoky, Mineral, Coffee",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Stout/1027753.aspx
Wavebreaker IPA,Ale,India Pale Ale,,6.30%,Sober Island Brewing,Nova Scotia,Canada,Crisp and Hoppy,"Moroccan, Curry (Mild), Asian Noodles","Orchard Fruit, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1034399.aspx
Beach Stone Bitter,Ale,Bitter,34,5.10%,Sober Island Brewing,Nova Scotia,Canada,Crisp and Hoppy,"Stews, Roast Pork, Cheddar","Malty, Hoppy, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Bitter/1033087.aspx
Marigold Blonde,Ale,Blonde Ale,16,5.00%,Sober Island Brewing,Nova Scotia,Canada,Bright and Balanced,"Salmon, Fish and Chips, Chicken","Grain, Dry, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1027396.aspx
Sol Lager,Lager,Pale Lager,,4.50%,Cerveceria Cuauhtemoc Moctezuma,,Mexico,Bright and Balanced,"Tex Mex, Nachos, Dips","Lively, Crisp, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1018536.aspx
Spindrift Coastal Lager,Lager,Marzen,30,5.00%,Spindrift Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"Shellfish, Fresh Cheeses, Appetizers","Floral, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Marzen/1021743.aspx
Hurricane IPA,Ale,India Pale Ale,60,6.20%,Spindrift Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Thai Cuisine, Curry, Asian","Tropical, Dry, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033244.aspx
Killick Session,Lager,Helles,16,4.70%,Spindrift Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"White Fish, Shellfish, Appetizers","Herb, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Helles/1025108.aspx
Sun Daze,Ale,Pale Ale,15,4.50%,Spindrift Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"Seafood, Chicken, Appetizers","Tropical, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1033813.aspx
St. Ambroise Grapefruit IPA,Ale,india Pale Ale,46,6.20%,McAuslan Brewing,Quebec,Canada,Crisp and Hoppy,"Thai Cuisine, Crab, Asian","Hoppy, Grapefruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/1027820.aspx
St. Ambroise Oatmeal Stout,Ale,Stout,45,5.00%,McAuslan Brewing,Quebec,Canada,Bold and Full Flavoured,"Dessert, Chocolate, Cheese","Malty, Coffee, Chocolate",https://www.mynslc.com/en/products/Beer/Ale/Stout/1021829.aspx
Steam Whistle Pilsner,Lager,Pilsner,22,5.00%,Steam Whitle Brewing,Ontario,Canada,Bright and Balanced,"BBQ Fare, Fish and Seafood, Salads","Grassy, Malty",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1020708.aspx
Stella Artois,Lager,Pale Lager,24,5.00%,N.V. Interbrew Belgium,,Belgium,Bright and Balanced,"Shellfish, Salads, Salads","Mild Hops, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1001051.aspx
Stiegl Grapefruit Radler,Lager,Radler,8,2.50%,Stiegl Getranke and Service Gmbh,,Austria,Flavoured and Refreshing,"Shellfish, salads, Appetizers","Grapefruit, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Radler/1018833.aspx
Deception Bay IPA,Ale,India Pale Ale,63,6.20%,Tatamagouche Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Cheese, Asian","Orchard Fruit, Hoppy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1022896.aspx
Nelson's Park Pale Ale,Ale,Pale Ale,,,Tatamagouche Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Pork, Moroccan, Asian Noodles","Tropical, Mango, Apricot",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1034390.aspx
North Shore Ale,Hybrid,Kolsch,15,4.70%,Tatamagouche Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"Sausages, Pub Fare, Mild Cheeses","Malty, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Hybrid/Kolsch/1022296.aspx
Dekorum Organic Light,Lager,Light Lager,,2.90%,Tatamagouche Brewing Co.,Nova Scotia,Canada,Light and Refreshing,"Aperitif, Appetizers","Crisp, Fresh, Grain",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1033470.aspx
Hippie Dippie Pale Ale,Ale,Pale Ale,27,5.00%,Tatamagouche Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Curry (Mild), Asian, Appetizers","Pine, Grain, Floral",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1025139.aspx
Jitney Dry Hopped Sour,Ale,Sour Ale,,4.50%,Tatamagouche Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Pork, Pate, Fresh Cheeses","Yeast, Tangy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1026964.aspx
Mayflower White IPA,Ale,India Pale Ale,,5.80%,The Church Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Thai Cuisine, Curry, Asian Noodles","Orange, Hoppy, Coriander",https://www.mynslc.com/en/products/Beer/Ale/1030809.aspx
Toller Gold Lager,Lager,Light Lager,,5.00%,Spindrift Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"Pub Fare, Nachos, Chicken Wings","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1033292.aspx
Rod's Red Irish Red Ale,Ale,Irish Red Ale,20,5.00%,Trider's Craft Beer,Nova Scotia,Canada,Robust and Malty,"Ribs, Pizza, BBQ Fare","Smooth, Malty, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Irish%20Red%20Ale/1032127.aspx
Tuborg Gold Label Lager,Lager ,Pale Lager,,5.50%,Tuborg Brewery,,Denmark,Bright and Balanced,"Seafood, Pub Fare, Appetizers","Grain, Crisp, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1000386.aspx
Diversion Life IPA,Ale,India Pale Ale,,6.20%,Tusket Falls Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Blue Cheeses, Asian","Hoppy, Herb, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1032003.aspx
Tusket Falls Golden Ale,Ale,Speciality Ale,,4.80%,Tusket Falls Brewing Company,Nova Scotia,Canada,Crisp and Hoppy,"Roast Chicken, Pork, Biscuit","Tropical, Citrus, Biscuit",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1030964.aspx
Tusket Falls Hazy Double IPA,Ale,Double India Pale Ale,,,Tusket Falls Brewing Company,Nova Scotia,Canada,,,,https://www.mynslc.com/en/products/Beer/Ale/Double%20IPA/1034628.aspx
Ceilidh Kolsch,Hybrid,Kolsch,14,5.50%,Uncle Leo's Brewery,Nova Scotia,Canada,Bright and Balanced,"White Fish, Shellfish, Aperitif","Spice, Herb, Grain",https://www.mynslc.com/en/products/Beer/Hybrid/Kolsch/1027756.aspx
Encore IPA,Ale,India Pale Ale,60,6.00%,Uncle Leo's Brewery,Nova Scotia,Canada,Crisp and Hoppy,"Fish and Chips, Curry (Mild), Asian","Tropical, Dry, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1027765.aspx
Uncle Leo's Irish Red Ale,Ale,Red Ale,20,5.00%,Uncle Leo's Brewery,Nova Scotia,Canada,Robust and Malty,"Roast Pork, Ploghman's Lunch, Cheddar","Malty, Grain, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Red%20Ale/1034486.aspx
Odin's Summer Ale,Ale,Pale Ale,,3.80%,Uncle Leo's Brewery,Nova Scotia,Canada,Bright and Balanced,,"Fruit, Juniper, Spice",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1033474.aspx
Uncle Leo's Smoked Porter,Ale,Porter,31,6.80%,Uncle Leo's Brewery,Nova Scotia,Canada,Bold and Full Flavoured,"Ribs, Oysters, BBQ Fare","Smoky, Coffee, Chocolate",https://www.mynslc.com/en/products/Beer/Ale/Porter/1023030.aspx
Uncle Leo's Sunburst,Ale,Speciality Ale,35,5.00%,Uncle Leo's Brewery,Nova Scotia,Canada,Bright and Balanced,"Hamburgers, Fish and Chips, Cheddar","Grapefruit, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1025092.aspx
Vohs Weizenbier,Ale,Wheat Ale,14,5.00%,Uncle Leo's Brewery,Nova Scotia,Canada,Fruity and Smooth,"Weisswurst, Mussels, Clams","Cloves, Citrus, Banana",https://www.mynslc.com/en/products/Beer/Ale/Wheat%20Ale/1033346.aspx
Do Gooder APA,Ale,Pale Ale,45,5.50%,Upstreet Brewing,PEI,Canada,Crisp and Hoppy,,"Caramel, Grapefruit, Pine",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1022845.aspx
Upstreet Fireworks ,Ale,Speciality Ale,10,6.00%,Upstreet Brewing,PEI,Canada,Fruity and Smooth,"Ploughman's Lunch, Cured Meats, Cheese","Spice, Orange, Honey",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1034432.aspx
Gravedigger Pumpkin Ale,Ale,Pale Ale,22,6.50%,UPstreet Brewing,PEI,Canada,Bold and Full Flavoured,"Turkey, Ham, Cheddar","Nutmeg, Fruit, Cloves",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1034408.aspx
1882 Privateers Ale,Ale,Blonde Ale,22,5.00%,Wayfarers' Ale Society,Nova Scotia,Canada,Bright and Balanced,"Pub Fare, Ploughman's Lunch, Fish and Chips","Smooth, Malty, Chocolate",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1033821.aspx
Hellene Blonde,Ale,Blonde Ale,17,4.20%,Wayfarers' Ale Society,Nova Scotia,Canada,Bright and Balanced,"White Fish, Shellfish, Risotto","Grassy, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1025171.aspx
Muddy Big Stout,Ale,Stout,30,5.70%,Wayfarers' Ale Society,Nova Scotia,Canada,Bold and Full Flavoured,"Oysters, Lamb Stew, Chocolate","Smooth, Creamy, Coffee",https://www.mynslc.com/en/products/Beer/Ale/Stout/1032036.aspx
Wayfarer's Ruby Ale,Ale,Irish Red Ale,30,4.80%,Wayfarers' Ale Society,Nova Scotia,Canada,Robust and Malty,"Ribs, Pizza, BBQ Fare","Malty, Chocolate, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Irish%20Red%20Ale/1025173.aspx
Brewce's Valley Lager,Lager,Light Lager,21,5.00%,Wayfarers' Ale Society,Nova Scotia,Canada,Bright and Balanced,,"Crisp, Grain, Grassy",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1033449.aspx
Southbound Lemon Wheat Radler,Lager,Radler,,5.00%,Wayfarers' Ale Society,Nova Scotia,Canada,Fruity and Smooth,,"Citrus, Smooth, Yeast",https://www.mynslc.com/en/products/Beer/Lager/Radler/1033452.aspx
Wayne Gretzky 99 Pale Ale,Ale,Light Ale,,5.00%,Wayne Gretzky Estates winery and Distillery,Ontario,Canada,Bright and Balanced,"Sausages, Pub Fare, Appetizers","Crisp, Citrus, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Light%20Ale/1033306.aspx
Wayne Gretzky 99 rye Lager,Lager,Flavoured Lager,,5.00%,Wayne Gretzky Estates winery and Distillery,Ontario,Canada,Bright and Balanced,"Pub Fare, Chicken Wings, Appetizers","Spice, Lively, Fresh",https://www.mynslc.com/en/products/Beer/Lager/Flavoured%20Lager/1031908.aspx
